model_name,input,input_length,sorted,output,output_length,is_sorted,is_correct,error_list,hallucination_count,missing_count,time_taken
gemini-3-pro-preview,"[6518, 8110, 3432, 5680, 2529, 8301, 1311, 2081, 7404, 804]",10,"[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]","[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]",10,True,True,[],0,0,7.230794429779053
gemini-2.5-flash,"[6518, 8110, 3432, 5680, 2529, 8301, 1311, 2081, 7404, 804]",10,"[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]","[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]",10,True,True,[],0,0,1.8561770915985107
claude-sonnet-4-5,"[6518, 8110, 3432, 5680, 2529, 8301, 1311, 2081, 7404, 804]",10,"[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]","[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]",10,True,True,[],0,0,1.4039554595947266
gpt-5.2,"[6518, 8110, 3432, 5680, 2529, 8301, 1311, 2081, 7404, 804]",10,"[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]","[8301, 8110, 7404, 6518, 5680, 3432, 2529, 2081, 1311, 804]",10,True,True,[],0,0,1.7232632637023926
gemini-3-pro-preview,"[8064, 2054, 4796, 2110, 1318, 5380, 9719, 1222, 7467, 695]",10,"[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]","[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]",10,True,True,[],0,0,7.792210102081299
gemini-2.5-flash,"[8064, 2054, 4796, 2110, 1318, 5380, 9719, 1222, 7467, 695]",10,"[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]","[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]",10,True,True,[],0,0,1.4556255340576172
claude-sonnet-4-5,"[8064, 2054, 4796, 2110, 1318, 5380, 9719, 1222, 7467, 695]",10,"[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]","[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]",10,True,True,[],0,0,1.7251274585723877
gpt-5.2,"[8064, 2054, 4796, 2110, 1318, 5380, 9719, 1222, 7467, 695]",10,"[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]","[9719, 8064, 7467, 5380, 4796, 2110, 2054, 1318, 1222, 695]",10,True,True,[],0,0,1.401277780532837
gemini-3-pro-preview,"[4434, 6327, 6745, 7187, 8845, 2733, 139, 1301, 8231, 8006]",10,"[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]","[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]",10,True,True,[],0,0,9.374115228652954
gemini-2.5-flash,"[4434, 6327, 6745, 7187, 8845, 2733, 139, 1301, 8231, 8006]",10,"[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]","[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]",10,True,True,[],0,0,1.8557193279266357
claude-sonnet-4-5,"[4434, 6327, 6745, 7187, 8845, 2733, 139, 1301, 8231, 8006]",10,"[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]","[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]",10,True,True,[],0,0,1.698594331741333
gpt-5.2,"[4434, 6327, 6745, 7187, 8845, 2733, 139, 1301, 8231, 8006]",10,"[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]","[8845, 8231, 8006, 7187, 6745, 6327, 4434, 2733, 1301, 139]",10,True,True,[],0,0,0.853499174118042
gemini-3-pro-preview,"[3553, 2299, 4603, 377, 8762, 1477, 4799, 2915, 8413, 8267]",10,"[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]","[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]",10,True,True,[],0,0,8.775074243545532
gemini-2.5-flash,"[3553, 2299, 4603, 377, 8762, 1477, 4799, 2915, 8413, 8267]",10,"[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]","[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]",10,True,True,[],0,0,1.7656874656677246
claude-sonnet-4-5,"[3553, 2299, 4603, 377, 8762, 1477, 4799, 2915, 8413, 8267]",10,"[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]","[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]",10,True,True,[],0,0,1.8211164474487305
gpt-5.2,"[3553, 2299, 4603, 377, 8762, 1477, 4799, 2915, 8413, 8267]",10,"[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]","[8762, 8413, 8267, 4799, 4603, 3553, 2915, 2299, 1477, 377]",10,True,True,[],0,0,1.3287720680236816
gemini-3-pro-preview,"[7913, 5744, 763, 7748, 101, 5097, 6916, 9456, 1700, 1235]",10,"[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]","[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]",10,True,True,[],0,0,7.5952064990997314
gemini-2.5-flash,"[7913, 5744, 763, 7748, 101, 5097, 6916, 9456, 1700, 1235]",10,"[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]","[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]",10,True,True,[],0,0,1.650451421737671
claude-sonnet-4-5,"[7913, 5744, 763, 7748, 101, 5097, 6916, 9456, 1700, 1235]",10,"[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]","[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]",10,True,True,[],0,0,1.1878149509429932
gpt-5.2,"[7913, 5744, 763, 7748, 101, 5097, 6916, 9456, 1700, 1235]",10,"[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]","[9456, 7913, 7748, 6916, 5744, 5097, 1700, 1235, 763, 101]",10,True,True,[],0,0,3.173168182373047
gemini-3-pro-preview,"[1593, 3883, 2442, 883, 7171, 5073, 5104, 5546, 8626, 7520]",10,"[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]","[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]",10,True,True,[],0,0,8.43054986000061
gemini-2.5-flash,"[1593, 3883, 2442, 883, 7171, 5073, 5104, 5546, 8626, 7520]",10,"[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]","[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]",10,True,True,[],0,0,2.2369909286499023
